nomeFaculdade,nomeCurso,nomeTipo,nomeTurno,nomeModalidade,nomeLocal,nomePreco
"Universidade Paulista","Psicologia","BACHARELADO (GRADUAÇÃO)","MANHÃ","PRESENCIAL","JARDIM DAS INDÚSTRIAS - SÃO JOSÉ DOS CAMPOS","R$ 717,28"
"ETEP Faculdades","Engenharia Industrial Mecânica","BACHARELADO (GRADUAÇÃO)","MANHÃ","PRESENCIAL","JARDIM ESPLANADA - SÃO JOSÉ DOS CAMPOS","R$ 674,25"
"Faculdade BILAC","Logística","TECNÓLOGO (GRADUAÇÃO)","NOITE","PRESENCIAL","CENTRO - SÃO JOSÉ DOS CAMPOS","R$ 306,75"
"Faculdade BILAC","Gestão de Recursos Humanos","TECNÓLOGO (GRADUAÇÃO)","NOITE","PRESENCIAL","CENTRO - SÃO JOSÉ DOS CAMPOS","R$ 306,75"
"Universidade Paulista","Estética e Cosmética","TECNÓLOGO (GRADUAÇÃO)","MANHÃ","PRESENCIAL","JARDIM DAS INDÚSTRIAS - SÃO JOSÉ DOS CAMPOS","R$ 301,21"
"ETEP Faculdades","Pedagogia","LICENCIATURA (GRADUAÇÃO)","NOITE","PRESENCIAL","CENTRO - JACAREÍ","R$ 299,25"
"Faculdades Anhanguera","Enfermagem","BACHARELADO (GRADUAÇÃO)","MANHÃ","PRESENCIAL","RIO COMPRIDO - SÃO JOSÉ DOS CAMPOS","R$ 532,00"
"Universidade Paulista","Educação Física","BACHARELADO (GRADUAÇÃO)","MANHÃ","PRESENCIAL","JARDIM DAS INDÚSTRIAS - SÃO JOSÉ DOS CAMPOS","R$ 517,88"
"Faculdades Anhanguera","Biomedicina","BACHARELADO (GRADUAÇÃO)","MANHÃ","PRESENCIAL","RIO COMPRIDO - SÃO JOSÉ DOS CAMPOS","R$ 492,00"
"Faculdades Anhanguera","Ciências Contábeis","BACHARELADO (GRADUAÇÃO)","NOITE","PRESENCIAL","PINHEIRO - JACAREÍ","R$ 468,77"
"Universidade Paulista","Ciências Contábeis","BACHARELADO (GRADUAÇÃO)","NOITE","PRESENCIAL","JARDIM DAS INDÚSTRIAS - SÃO JOSÉ DOS CAMPOS","R$ 448,93"
"ETEP Faculdades","Engenharia Civil","BACHARELADO (GRADUAÇÃO)","NOITE","PRESENCIAL","JARDIM ESPLANADA - SÃO JOSÉ DOS CAMPOS","R$ 448,50"
"Faculdades Anhanguera","Pedagogia","LICENCIATURA (GRADUAÇÃO)","NOITE","PRESENCIAL","PINHEIRO - JACAREÍ","R$ 440,70"
"ETEP Faculdades","Administração","BACHARELADO (GRADUAÇÃO)","NOITE","PRESENCIAL","CENTRO - JACAREÍ","R$ 202,30"
"Faculdades Anhanguera","Engenharia Química","BACHARELADO (GRADUAÇÃO)","MANHÃ","PRESENCIAL","PINHEIRO - JACAREÍ","R$ 392,00"
"ETEP Faculdades","Mecatrônica Industrial","TECNÓLOGO (GRADUAÇÃO)","NOITE","PRESENCIAL","JARDIM ESPLANADA - SÃO JOSÉ DOS CAMPOS","R$ 389,22"
"Faculdade BILAC","Engenharia de Produção","BACHARELADO (GRADUAÇÃO)","MANHÃ","PRESENCIAL","CENTRO - SÃO JOSÉ DOS CAMPOS","R$ 381,42"
"ETEP Faculdades","Gestão de Recursos Humanos","TECNÓLOGO (GRADUAÇÃO)","NOITE","PRESENCIAL","JARDIM SATÉLITE - SÃO JOSÉ DOS CAMPOS","R$ 344,25"
"ETEP Faculdades","Mecatrônica Industrial","TECNÓLOGO (GRADUAÇÃO)","MANHÃ","PRESENCIAL","JARDIM ESPLANADA - SÃO JOSÉ DOS CAMPOS","R$ 311,22"
